year,total_count,minor_count,major_count,category_0_count,category_1_count,category_2_count,category_3_count,category_4_count,category_5_count
1851,2,1,1,0,1,0,1,0,0
1852,3,2,1,0,1,1,1,0,0
1853,0,0,0,0,0,0,0,0,0
1854,3,2,1,0,1,1,1,0,0
1855,1,0,1,0,0,0,1,0,0
1856,2,1,1,0,0,1,0,1,0
1857,2,2,0,1,0,1,0,0,0
1858,1,1,0,1,0,0,0,0,0
1859,2,2,0,0,2,0,0,0,0
1860,3,2,1,0,0,2,1,0,0
1861,2,2,0,1,1,0,0,0,0
1862,0,0,0,0,0,0,0,0,0
1863,0,0,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0,0
1865,2,2,0,0,0,2,0,0,0
1866,1,1,0,0,0,1,0,0,0
1867,2,2,0,0,1,1,0,0,0
1868,0,0,0,0,0,0,0,0,0
1869,4,3,1,0,1,2,1,0,0
1870,1,1,0,0,1,0,0,0,0
1871,4,3,1,1,1,1,1,0,0
1872,1,1,0,1,0,0,0,0,0
1873,2,1,1,0,1,0,1,0,0
1874,1,1,0,0,1,0,0,0,0
1875,1,0,1,0,0,0,1,0,0
1876,2,2,0,0,1,1,0,0,0
1877,2,1,1,0,1,0,1,0,0
1878,3,3,0,2,0,1,0,0,0
1879,4,2,2,1,0,1,2,0,0
1880,5,4,1,2,1,1,0,1,0
1881,2,2,0,0,0,2,0,0,0
1882,2,1,1,0,1,0,1,0,0
1883,1,1,0,0,0,1,0,0,0
1884,1,1,0,1,0,0,0,0,0
1885,3,3,0,2,0,1,0,0,0
1886,6,4,2,0,1,3,1,1,0
1887,2,2,0,0,2,0,0,0,0
1888,4,2,2,0,2,0,2,0,0
1889,2,2,0,1,1,0,0,0,0
1890,0,0,0,0,0,0,0,0,0
1891,2,2,0,0,2,0,0,0,0
1892,0,0,0,0,0,0,0,0,0
1893,6,3,3,1,1,1,2,1,0
1894,2,1,1,0,1,0,1,0,0
1895,0,0,0,0,0,0,0,0,0
1896,4,3,1,1,1,1,1,0,0
1897,2,2,0,2,0,0,0,0,0
1898,3,2,1,1,1,0,0,1,0
1899,3,1,2,1,0,0,2,0,0
1900,1,0,1,0,0,0,0,1,0
1901,3,3,0,2,1,0,0,0,0
1902,2,2,0,2,0,0,0,0,0
1903,2,2,0,0,2,0,0,0,0
1904,2,2,0,0,2,0,0,0,0
1905,0,0,0,0,0,0,0,0,0
1906,4,2,2,0,2,0,2,0,0
1907,0,0,0,0,0,0,0,0,0
1908,2,2,0,0,2,0,0,0,0
1909,4,1,3,0,0,1,3,0,0
1910,2,1,1,0,0,1,1,0,0
1911,2,2,0,0,1,1,0,0,0
1912,2,2,0,0,1,1,0,0,0
1913,3,3,0,0,3,0,0,0,0
1914,0,0,0,0,0,0,0,0,0
1915,4,2,2,0,2,0,1,1,0
1916,6,2,4,2,0,0,3,1,0
1917,1,0,1,0,0,0,1,0,0
1918,2,1,1,0,1,0,1,0,0
1919,1,0,1,0,0,0,0,1,0
1920,3,3,0,2,0,1,0,0,0
1921,2,1,1,0,1,0,1,0,0
1922,0,0,0,0,0,0,0,0,0
1923,1,1,0,0,1,0,0,0,0
1924,2,2,0,0,2,0,0,0,0
1925,0,0,0,0,0,0,0,0,0
1926,3,1,2,0,0,1,1,1,0
1927,0,0,0,0,0,0,0,0,0
