year,total_count,minor_count,major_count,category_td_count,category_ts_count,category_1_count,category_2_count,category_3_count,category_4_count,category_5_count
1851,2,0,0,0,0,1,0,1,0,0
1852,3,0,0,0,0,1,1,1,0,0
1853,0,0,0,0,0,0,0,0,0,0
1854,3,0,0,0,0,1,1,1,0,0
1855,1,0,0,0,0,0,0,1,0,0
1856,2,0,0,0,0,0,1,0,1,0
1857,2,0,0,0,1,0,1,0,0,0
1858,1,0,0,0,0,1,0,0,0,0
1859,2,0,0,0,0,2,0,0,0,0
1860,3,0,0,0,0,0,2,1,0,0
1861,2,0,0,0,0,2,0,0,0,0
1862,0,0,0,0,0,0,0,0,0,0
1863,0,0,0,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0,0,0
1865,2,0,0,0,0,0,2,0,0,0
1866,1,0,0,0,0,0,1,0,0,0
1867,2,0,0,0,0,1,1,0,0,0
1868,0,0,0,0,0,0,0,0,0,0
1869,4,0,0,0,0,1,2,1,0,0
1870,2,0,0,0,0,2,0,0,0,0
1871,4,0,0,0,1,1,1,1,0,0
1872,1,0,0,0,1,0,0,0,0,0
1873,2,0,0,0,0,1,0,1,0,0
1874,1,0,0,0,0,1,0,0,0,0
1875,1,0,0,0,0,0,0,1,0,0
1876,2,0,0,0,0,1,1,0,0,0
1877,2,0,0,0,0,1,0,1,0,0
1878,3,0,0,0,1,0,2,0,0,0
1879,4,0,0,0,1,0,1,2,0,0
1880,5,0,0,0,1,2,1,0,1,0
1881,2,0,0,0,0,0,2,0,0,0
1882,2,0,0,0,0,1,0,1,0,0
1883,1,0,0,0,0,0,1,0,0,0
1884,1,0,0,0,1,0,0,0,0,0
1885,3,0,0,0,2,0,1,0,0,0
1886,6,0,0,0,0,1,3,1,1,0
1887,3,0,0,0,0,3,0,0,0,0
1888,4,0,0,0,0,2,1,1,0,0
1889,2,0,0,0,1,1,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0
1891,2,0,0,0,0,2,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0
1893,6,0,0,0,1,1,1,2,1,0
1894,2,0,0,0,0,1,0,1,0,0
1895,0,0,0,0,0,0,0,0,0,0
1896,4,0,0,0,1,1,1,1,0,0
1897,2,0,0,0,1,1,0,0,0,0
1898,3,0,0,0,0,2,0,0,1,0
1899,3,0,0,0,0,0,2,1,0,0
1900,1,0,0,0,0,0,0,0,1,0
1901,3,0,0,0,1,2,0,0,0,0
1902,2,0,0,0,2,0,0,0,0,0
1903,2,0,0,0,0,2,0,0,0,0
1904,2,0,0,0,0,2,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0
1906,4,0,0,0,0,2,1,1,0,0
1907,0,0,0,0,0,0,0,0,0,0
1908,2,0,0,0,0,2,0,0,0,0
1909,4,0,0,0,0,0,1,3,0,0
1910,2,0,0,0,0,0,2,0,0,0
1911,2,0,0,0,0,1,1,0,0,0
1912,2,0,0,0,0,1,1,0,0,0
1913,3,0,0,0,0,3,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0
1915,4,0,0,0,0,2,0,1,1,0
1916,6,0,0,0,2,0,2,1,1,0
1917,1,0,0,0,0,0,0,1,0,0
1918,2,0,0,0,0,1,0,1,0,0
1919,1,0,0,0,0,0,0,0,1,0
1920,3,0,0,0,2,0,1,0,0,0
1921,2,0,0,0,0,1,0,1,0,0
1922,0,0,0,0,0,0,0,0,0,0
1923,1,0,0,0,0,1,0,0,0,0
1924,2,0,0,0,0,2,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0
1926,3,0,0,0,0,0,1,1,1,0
1927,0,0,0,0,0,0,0,0,0,0
1928,3,0,0,0,1,0,1,0,1,0
1929,2,0,0,0,0,1,0,1,0,0
1930,1,0,0,0,1,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0
1932,2,0,0,0,0,1,0,0,1,0
1933,4,0,0,0,0,2,0,2,0,0
1934,3,0,0,0,0,2,1,0,0,0
1935,2,0,0,0,0,0,1,0,0,1
1936,2,0,0,0,0,1,1,0,0,0
1937,0,0,0,0,0,0,0,0,0,0
1938,2,0,0,0,0,1,0,1,0,0
1939,1,0,0,0,0,1,0,0,0,0
1940,2,0,0,0,0,0,2,0,0,0
1941,2,0,0,0,0,0,1,1,0,0
1942,2,0,0,0,0,1,0,1,0,0
1943,1,0,0,0,0,0,1,0,0,0
1944,3,0,0,0,0,1,1,1,0,0
1945,3,0,0,0,0,1,0,1,1,0
1946,3,0,0,0,2,1,0,0,0,0
1947,4,0,0,0,0,2,1,1,0,0
1948,3,0,0,0,0,1,0,2,0,0
1949,4,0,0,0,2,0,1,0,1,0
1950,6,0,0,0,1,4,1,0,0,0
1951,3,0,0,0,1,1,0,1,0,0
1952,2,0,0,0,0,0,1,0,1,0
1953,5,0,0,0,1,4,0,0,0,0
1954,4,0,0,0,0,1,2,1,0,0
1955,8,0,0,0,1,3,4,0,0,0
1956,2,0,0,0,0,2,0,0,0,0
1957,1,0,0,0,0,0,0,1,0,0
1958,2,0,0,0,1,0,1,0,0,0
1959,5,0,0,0,2,2,0,0,1,0
1960,3,0,0,0,0,2,0,1,0,0
1961,6,0,0,0,3,1,0,0,2,0
1962,0,0,0,0,0,0,0,0,0,0
1963,4,0,0,0,0,0,4,0,0,0
1964,4,0,0,0,0,0,3,1,0,0
1965,1,0,0,0,0,0,0,1,0,0
1966,2,0,0,0,0,0,1,1,0,0
1967,3,0,0,0,2,0,0,1,0,0
1968,2,0,0,0,1,0,1,0,0,0
1969,5,0,0,0,2,1,2,0,0,0
1970,3,0,0,0,1,0,0,1,1,0
1971,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0
1983,2,0,0,0,0,1,0,1,0,0
1984,1,0,0,0,0,1,0,0,0,0
1985,6,0,0,0,0,3,2,1,0,0
1986,2,0,0,0,0,2,0,0,0,0
1987,2,0,0,0,0,1,1,0,0,0
1988,4,0,0,0,0,2,0,0,2,0
1989,4,0,0,0,1,2,0,0,1,0
1990,1,0,0,0,0,0,1,0,0,0
1991,2,0,0,0,1,0,1,0,0,0
1992,1,0,0,0,0,0,0,0,0,1
1993,1,0,0,0,0,0,1,0,0,0
1994,1,0,0,1,0,0,0,0,0,0
1995,6,0,0,0,2,2,0,2,0,0
1996,6,0,0,0,0,3,2,1,0,0
1997,1,0,0,0,0,1,0,0,0,0
1998,4,0,0,0,0,2,1,1,0,0
1999,6,0,0,0,0,3,0,2,1,0
2000,3,0,0,0,1,2,0,0,0,0
2001,5,0,0,1,2,0,0,0,2,0
2002,4,0,0,0,1,3,0,0,0,0
2003,4,0,0,0,0,2,2,0,0,0
2004,5,0,0,0,0,2,0,3,0,0
2005,10,0,0,2,0,4,1,1,2,0
2006,1,0,0,0,1,0,0,0,0,0
2007,6,0,0,0,2,2,0,0,0,2
2008,6,0,0,0,0,4,1,1,0,0
2009,2,0,0,0,1,1,0,0,0,0
2010,7,0,0,0,1,2,3,1,0,0
2011,5,0,0,0,4,0,0,1,0,0
2012,4,0,0,0,0,4,0,0,0,0
2013,1,0,0,0,1,0,0,0,0,0
2014,4,0,0,0,1,2,1,0,0,0
2015,1,0,0,0,0,0,0,0,1,0
2016,5,0,0,0,1,2,0,1,1,0
2017,7,0,0,0,0,4,0,0,1,2
2018,2,0,0,0,0,1,0,0,0,1
2019,2,0,0,0,0,2,0,0,0,0
2020,12,0,0,0,1,5,3,0,3,0
2021,6,0,0,0,2,4,0,0,0,0
2022,6,0,0,0,1,4,0,1,0,0
2023,5,0,0,0,3,1,0,1,0,0
