index,id,name,date,year,time,record_identifier,status,latitude,longitude,knots,mph,category
0,AL011851,UNNAMED,18510625,1851,0000,,HU,28.0,-94.8,80,92,1
1,AL011851,UNNAMED,18510625,1851,0600,,HU,28.0,-95.4,80,92,1
2,AL011851,UNNAMED,18510625,1851,1200,,HU,28.0,-96.0,80,92,1
3,AL011851,UNNAMED,18510625,1851,1800,,HU,28.1,-96.5,80,92,1
4,AL011851,UNNAMED,18510625,1851,2100,L,HU,28.2,-96.8,80,92,1
5,AL011851,UNNAMED,18510626,1851,0000,,HU,28.2,-97.0,70,81,1
6,AL011851,UNNAMED,18510626,1851,0600,,TS,28.3,-97.6,60,69,TS
7,AL011851,UNNAMED,18510626,1851,1200,,TS,28.4,-98.3,60,69,TS
8,AL011851,UNNAMED,18510626,1851,1800,,TS,28.6,-98.9,50,58,TS
9,AL011851,UNNAMED,18510627,1851,0000,,TS,29.0,-99.4,50,58,TS
10,AL011851,UNNAMED,18510627,1851,0600,,TS,29.5,-99.8,40,46,TS
11,AL011851,UNNAMED,18510627,1851,1200,,TS,30.0,-100.0,40,46,TS
12,AL011851,UNNAMED,18510627,1851,1800,,TS,30.5,-100.1,40,46,TS
13,AL011851,UNNAMED,18510628,1851,0000,,TS,31.0,-100.2,40,46,TS
14,AL021851,UNNAMED,18510705,1851,1200,,HU,22.2,-97.6,80,92,1
15,AL031851,UNNAMED,18510710,1851,1200,,TS,12.0,-60.0,50,58,TS
16,AL041851,UNNAMED,18510816,1851,0000,,TS,13.4,-48.0,40,46,TS
17,AL041851,UNNAMED,18510816,1851,0600,,TS,13.7,-49.5,40,46,TS
18,AL041851,UNNAMED,18510816,1851,1200,,TS,14.0,-51.0,50,58,TS
19,AL041851,UNNAMED,18510816,1851,1800,,TS,14.4,-52.8,50,58,TS
20,AL041851,UNNAMED,18510817,1851,0000,,TS,14.9,-54.6,60,69,TS
21,AL041851,UNNAMED,18510817,1851,0600,,TS,15.4,-56.5,60,69,TS
22,AL041851,UNNAMED,18510817,1851,1200,,HU,15.9,-58.5,70,81,1
23,AL041851,UNNAMED,18510817,1851,1800,,HU,16.1,-60.4,70,81,1
24,AL041851,UNNAMED,18510818,1851,0000,,HU,16.6,-62.5,80,92,1
25,AL041851,UNNAMED,18510818,1851,0600,,HU,16.9,-64.1,80,92,1
26,AL041851,UNNAMED,18510818,1851,1200,,HU,17.2,-66.0,90,104,2
27,AL041851,UNNAMED,18510818,1851,1800,,HU,17.6,-67.6,90,104,2
28,AL041851,UNNAMED,18510819,1851,0000,,HU,18.0,-69.3,90,104,2
29,AL041851,UNNAMED,18510819,1851,0600,,HU,18.4,-71.1,70,81,1
30,AL041851,UNNAMED,18510819,1851,1200,,TS,18.9,-72.6,60,69,TS
