ID,Name,Year,Date,Time,Event,Status,Category,Latitude,Longtitude,Knots,MPH
AL011851,UNNAMED,1851,6/25/51,2100,L,HU,1,28.2,-96.8,80,92.08
AL041851,UNNAMED,1851,8/23/51,2100,L,HU,3,30.1,-85.7,100,115.1
AL011852,UNNAMED,1852,8/26/52,600,L,HU,3,30.2,-88.6,100,115.1
AL031852,UNNAMED,1852,9/12/52,0,L,HU,1,28,-82.8,70,80.57
AL051852,UNNAMED,1852,10/9/52,2100,L,HU,2,29.9,-84.4,90,103.59
AL011854,UNNAMED,1854,6/26/54,1200,L,HU,1,26.2,-97,70,80.57
AL031854,UNNAMED,1854,9/8/54,2000,L,HU,3,31.7,-81.1,100,115.1
AL041854,UNNAMED,1854,9/18/54,2100,L,HU,2,28.9,-95.3,90,103.59
AL051855,UNNAMED,1855,9/16/55,300,L,HU,3,29.2,-89.5,110,126.61
AL011856,UNNAMED,1856,8/10/56,1800,L,HU,4,29.2,-91.1,130,149.63
AL051856,UNNAMED,1856,8/31/56,600,L,HU,2,30.2,-85.9,90,103.59
AL021857,UNNAMED,1857,9/13/57,0,L,HU,2,33.9,-78,90,103.59
AL041857,UNNAMED,1857,9/30/57,1000,L,TS,0,25.8,-97,50,57.55
AL031858,UNNAMED,1858,9/14/58,1500,L,TS,0,27.6,-82.7,60,69.06
AL051859,UNNAMED,1859,9/16/59,0,L,HU,1,30.3,-88.1,70,80.57
AL081859,UNNAMED,1859,10/28/59,1800,L,HU,1,27.7,-82.8,80,92.08
AL011860,UNNAMED,1860,8/11/60,2000,L,HU,3,29.2,-90,110,126.61
AL041860,UNNAMED,1860,9/15/60,400,L,HU,2,29.3,-89.6,90,103.59
AL061860,UNNAMED,1860,10/2/60,1700,L,HU,2,29.5,-91.4,90,103.59
AL051861,UNNAMED,1861,9/27/61,1700,L,HU,1,34.5,-77.4,70,80.57
AL081861,UNNAMED,1861,11/1/61,800,L,TS,0,26,-81.8,60,69.06
AL041865,UNNAMED,1865,9/13/65,2100,L,HU,2,29.8,-93.4,90,103.59
AL071865,UNNAMED,1865,10/23/65,1000,L,HU,2,24.6,-81.7,90,103.59
AL011866,UNNAMED,1866,7/15/66,1200,L,HU,2,28.5,-96.5,90,103.59
AL011867,UNNAMED,1867,6/22/67,1400,L,HU,1,32.9,-79.7,70,80.57
AL071867,UNNAMED,1867,10/4/67,1500,L,HU,2,29.2,-91,90,103.59
AL021869,UNNAMED,1869,8/17/69,700,L,HU,2,28.1,-96.8,90,103.59
AL051869,UNNAMED,1869,9/5/69,1200,L,HU,1,29.2,-90,70,80.57
AL061869,UNNAMED,1869,9/8/69,2100,L,HU,3,41,-71.9,100,115.1
AL101869,UNNAMED,1869,10/4/69,1900,L,HU,2,41.3,-70.5,90,103.59
AL091870,UNNAMED,1870,10/20/70,1400,L,HU,1,24.7,-82.8,80,92.08
AL031871,UNNAMED,1871,8/17/71,200,L,HU,3,27.1,-80.2,100,115.1
AL041871,UNNAMED,1871,8/25/71,500,L,HU,2,27.1,-80.3,90,103.59
AL061871,UNNAMED,1871,9/6/71,1400,L,HU,1,29.2,-83,70,80.57
AL071871,UNNAMED,1871,10/5/71,1600,L,TS,0,30,-83.9,60,69.06
AL051872,UNNAMED,1872,10/23/72,800,L,TS,0,27.9,-82.7,50,57.55
AL031873,UNNAMED,1873,9/19/73,1500,L,HU,1,29.9,-84.4,70,80.57
AL051873,UNNAMED,1873,10/7/73,100,L,HU,3,26.5,-82.2,100,115.1
AL061874,UNNAMED,1874,9/28/74,300,L,HU,1,29.1,-82.9,70,80.57
AL031875,UNNAMED,1875,9/16/75,2100,L,HU,3,27.7,-97.2,100,115.1
AL021876,UNNAMED,1876,9/17/76,1400,L,HU,1,34.4,-77.6,80,92.08
AL051876,UNNAMED,1876,10/20/76,500,L,HU,2,25.8,-81.4,90,103.59
AL021877,UNNAMED,1877,9/18/77,1600,L,HU,1,29.2,-91,70,80.57
AL041877,UNNAMED,1877,10/3/77,500,L,HU,3,30,-85.5,100,115.1
AL051878,UNNAMED,1878,9/7/78,2100,L,TS,0,24.7,-80.9,60,69.06
AL081878,UNNAMED,1878,10/10/78,2100,L,TS,0,29.9,-85.4,50,57.55
AL111878,UNNAMED,1878,10/23/78,400,L,HU,2,34.8,-77.1,90,103.59
AL021879,UNNAMED,1879,8/18/79,1200,L,HU,3,34.5,-76.8,100,115.1
AL031879,UNNAMED,1879,8/23/79,200,L,HU,2,29.6,-94.4,90,103.59
AL041879,UNNAMED,1879,9/1/79,1600,L,HU,3,29.5,-91.4,110,126.61
AL071879,UNNAMED,1879,10/27/79,2100,L,TS,0,29,-82.7,60,69.06
AL021880,UNNAMED,1880,8/13/80,100,L,HU,4,25.8,-97,130,149.63
AL041880,UNNAMED,1880,8/29/80,1200,L,HU,2,28.2,-80.6,90,103.59
AL061880,UNNAMED,1880,9/8/80,1600,L,TS,0,29.8,-83.6,50,57.55
AL091880,UNNAMED,1880,10/8/80,1900,L,HU,1,28.7,-83,70,80.57
AL111880,UNNAMED,1880,10/23/80,800,L,EX,0,41.3,-70,60,69.06
AL051881,UNNAMED,1881,8/28/81,200,L,HU,2,31.7,-81.1,90,103.59
AL061881,UNNAMED,1881,9/9/81,1600,L,HU,2,33.9,-78.1,90,103.59
AL021882,UNNAMED,1882,9/10/82,200,L,HU,3,30.4,-86.8,110,126.61
AL061882,UNNAMED,1882,10/11/82,400,L,HU,1,29.5,-83.3,70,80.57
AL031883,UNNAMED,1883,9/11/83,1300,L,HU,2,33.9,-78.5,90,103.59
AL031884,UNNAMED,1884,9/11/84,100,L,TS,0,31.6,-81.2,40,46.04
AL021885,UNNAMED,1885,8/25/85,1200,L,HU,2,32.6,-80.1,90,103.59
AL041885,UNNAMED,1885,9/21/85,300,L,TS,0,29,-89.4,50,57.55
AL061885,UNNAMED,1885,9/26/85,400,L,TS,0,29.6,-89,60,69.06
AL011886,UNNAMED,1886,6/14/86,1600,L,HU,2,29.6,-94.2,85,97.835
AL021886,UNNAMED,1886,6/21/86,1100,L,HU,2,30.1,-84,85,97.835
AL031886,UNNAMED,1886,6/30/86,2100,L,HU,2,29.7,-85.2,85,97.835
AL041886,UNNAMED,1886,7/19/86,100,L,HU,1,28.8,-82.7,70,80.57
AL051886,UNNAMED,1886,8/20/86,1300,L,HU,4,28.1,-96.8,130,149.63
AL101886,UNNAMED,1886,10/12/86,2200,L,HU,3,29.8,-93.5,105,120.855
AL041887,UNNAMED,1887,7/27/87,1500,L,HU,1,30.4,-86.6,75,86.325
AL091887,UNNAMED,1887,9/21/87,1700,L,HU,1,26.1,-97.2,75,86.325
AL011888,UNNAMED,1888,6/17/88,600,L,HU,1,28.7,-95.7,70,80.57
AL031888,UNNAMED,1888,8/16/88,1900,L,HU,3,25.8,-80.1,110,126.61
AL061888,UNNAMED,1888,9/26/88,1300,L,HU,1,41.6,-69.9,70,80.57
AL071888,UNNAMED,1888,10/11/88,100,L,HU,3,29.2,-83.1,95,109.345
AL021889,UNNAMED,1889,6/17/89,1500,L,TS,0,29.1,-82.9,45,51.795
AL061889,UNNAMED,1889,9/23/89,400,L,HU,1,29.1,-89.8,70,80.57
AL011891,UNNAMED,1891,7/5/91,2200,L,HU,1,28.8,-95.5,80,92.08
AL031891,UNNAMED,1891,8/24/91,1500,L,HU,1,25.4,-80.2,70,80.57
AL011893,UNNAMED,1893,6/15/93,2300,L,TS,0,29.9,-83.7,60,69.06
AL041893,UNNAMED,1893,8/24/93,1200,L,HU,1,40.7,-73.9,75,86.325
AL061893,UNNAMED,1893,8/28/93,500,L,HU,3,31.7,-81.1,100,115.1
AL081893,UNNAMED,1893,9/7/93,1400,L,HU,2,29.2,-91.1,85,97.835
AL091893,UNNAMED,1893,10/13/93,1300,L,HU,3,33,-79.5,105,120.855
AL101893,UNNAMED,1893,10/2/93,800,L,HU,4,29.3,-89.8,115,132.365
AL041894,UNNAMED,1894,9/25/94,1100,L,HU,1,24.7,-82,70,80.57
AL051894,UNNAMED,1894,10/9/94,300,L,HU,3,30.2,-85.5,105,120.855
AL011896,UNNAMED,1896,7/7/96,1700,L,HU,2,30.4,-86.5,85,97.835
AL021896,UNNAMED,1896,9/10/96,1300,L,HU,1,41.2,-70.6,70,80.57
AL041896,UNNAMED,1896,9/29/96,1100,L,HU,3,29.2,-83.1,110,126.61
AL051896,UNNAMED,1896,10/9/96,200,L,TS,0,26.4,-82,50,57.55
AL021897,UNNAMED,1897,9/10/97,1800,L,TS,0,24.4,-81.9,60,69.06
AL051897,UNNAMED,1897,10/20/97,2000,L,TS,0,35.2,-75.5,55,63.305
AL011898,UNNAMED,1898,8/2/98,300,L,TS,0,27.1,-80.1,35,40.285
AL021898,UNNAMED,1898,8/31/98,700,L,HU,1,32.1,-80.8,75,86.325
AL071898,UNNAMED,1898,10/2/98,1600,L,HU,4,30.9,-81.4,115,132.365
AL021899,UNNAMED,1899,7/30/99,1000,L,TS,0,24.9,-80.6,40,46.04
AL031899,UNNAMED,1899,8/18/99,100,L,HU,3,35.2,-75.8,105,120.855
AL091899,UNNAMED,1899,10/31/99,900,L,HU,3,33.6,-79,95,109.345
AL011900,UNNAMED,1900,9/9/00,200,L,HU,4,29.1,-95.1,120,138.12
AL031901,UNNAMED,1901,7/11/01,700,L,HU,1,36,-75.8,70,80.57
AL041901,UNNAMED,1901,8/10/01,2200,L,TS,0,26.3,-80.1,40,46.04
AL081901,UNNAMED,1901,9/17/01,2000,L,TS,0,30.4,-86.6,50,57.55
AL021902,UNNAMED,1902,6/26/02,2100,L,TS,0,27.7,-97.2,60,69.06
AL041902,UNNAMED,1902,10/10/02,2100,L,TS,0,30.3,-87.3,50,57.55
AL031903,UNNAMED,1903,9/11/03,2300,L,HU,1,26.1,-80.1,75,86.325
AL041903,UNNAMED,1903,9/16/03,1100,L,HU,1,39.1,-74.7,70,80.57
AL021904,UNNAMED,1904,9/14/04,1300,L,HU,1,33.1,-79.2,70,80.57
AL041904,UNNAMED,1904,10/17/04,800,L,HU,1,25.3,-80.3,70,80.57
AL021906,UNNAMED,1906,6/17/06,300,L,HU,1,24.7,-81.1,70,80.57
AL051906,UNNAMED,1906,9/17/06,2200,L,HU,1,33.3,-79.2,80,92.08
AL061906,UNNAMED,1906,9/27/06,1100,L,HU,3,30.2,-88.6,95,109.345
AL081906,UNNAMED,1906,10/18/06,1000,L,HU,3,24.7,-81.1,105,120.855
AL021908,UNNAMED,1908,5/29/08,2100,L,HU,1,35.2,-75.6,65,74.815
AL031908,UNNAMED,1908,7/31/08,1100,L,HU,1,34.6,-77.1,70,80.57
AL021909,UNNAMED,1909,6/29/09,1700,L,HU,2,26.1,-97.2,85,97.835
AL041909,UNNAMED,1909,7/21/09,1700,L,HU,3,28.9,-95.3,100,115.1
