index,id,name,date,year,time,record_identifier,status,latitude,longitude,knots,mph,category
4,AL011851,UNNAMED,18510625,1851,2100,L,HU,28.2,-96.8,80,92,1
48,AL041851,UNNAMED,18510823,1851,2100,L,HU,30.1,-85.7,100,115,3
127,AL011852,UNNAMED,18520826,1852,600,L,HU,30.2,-88.6,100,115,3
163,AL031852,UNNAMED,18520912,1852,0,L,HU,28,-82.8,70,81,1
223,AL051852,UNNAMED,18521009,1852,2100,L,HU,29.9,-84.4,90,104,2
338,AL011854,UNNAMED,18540626,1854,1200,L,HU,26.2,-97,70,81,1
352,AL031854,UNNAMED,18540908,1854,2000,L,HU,31.7,-81.1,100,115,3
373,AL041854,UNNAMED,18540918,1854,2100,L,HU,28.9,-95.3,90,104,2
421,AL051855,UNNAMED,18550916,1855,300,L,HU,29.2,-89.5,110,127,3
434,AL011856,UNNAMED,18560810,1856,1800,L,HU,29.2,-91.1,130,150,4
487,AL051856,UNNAMED,18560831,1856,600,L,HU,30.2,-85.9,90,104,2
555,AL021857,UNNAMED,18570913,1857,0,L,HU,33.9,-78,90,104,2
640,AL031858,UNNAMED,18580916,1858,1700,L,HU,40.9,-72.2,80,92,1
742,AL051859,UNNAMED,18590916,1859,0,L,HU,30.3,-88.1,70,81,1
804,AL081859,UNNAMED,18591028,1859,1800,L,HU,27.7,-82.8,80,92,1
825,AL011860,UNNAMED,18600811,1860,2000,L,HU,29.2,-90,110,127,3
873,AL041860,UNNAMED,18600915,1860,400,L,HU,29.3,-89.6,90,104,2
907,AL061860,UNNAMED,18601002,1860,1700,L,HU,29.5,-91.4,90,104,2
1004,AL051861,UNNAMED,18610927,1861,1700,L,HU,34.5,-77.4,70,81,1
1032,AL081861,UNNAMED,18611102,1861,1000,L,HU,34.7,-76.6,70,81,1
1361,AL041865,UNNAMED,18650913,1865,2100,L,HU,29.8,-93.4,90,104,2
1390,AL071865,UNNAMED,18651023,1865,1000,L,HU,24.6,-81.7,90,104,2
1418,AL011866,UNNAMED,18660715,1866,1200,L,HU,28.5,-96.5,90,104,2
1530,AL011867,UNNAMED,18670622,1867,1400,L,HU,32.9,-79.7,70,81,1
1603,AL071867,UNNAMED,18671004,1867,1500,L,HU,29.2,-91,90,104,2
1725,AL021869,UNNAMED,18690817,1869,700,L,HU,28.1,-96.8,90,104,2
1746,AL051869,UNNAMED,18690905,1869,1200,L,HU,29.2,-90,70,81,1
1757,AL061869,UNNAMED,18690908,1869,2100,L,HU,41,-71.9,100,115,3
1799,AL101869,UNNAMED,18691004,1869,1900,L,HU,41.3,-70.5,90,104,2
1805,AL011870,UNNAMED,18700730,1870,1800,L,HU,30.5,-88,70,81,1
1936,AL091870,UNNAMED,18701020,1870,1400,L,HU,24.7,-82.8,80,92,1
2015,AL031871,UNNAMED,18710817,1871,200,L,HU,27.1,-80.2,100,115,3
2076,AL041871,UNNAMED,18710825,1871,500,L,HU,27.1,-80.3,90,104,2
2123,AL061871,UNNAMED,18710906,1871,1400,L,HU,29.2,-83,70,81,1
2441,AL031873,UNNAMED,18730919,1873,1500,L,HU,29.9,-84.4,70,81,1
2505,AL051873,UNNAMED,18731007,1873,100,L,HU,26.5,-82.2,100,115,3
2649,AL061874,UNNAMED,18740928,1874,300,L,HU,29.1,-82.9,70,81,1
2775,AL031875,UNNAMED,18750916,1875,2100,L,HU,27.7,-97.2,100,115,3
2873,AL021876,UNNAMED,18760917,1876,1400,L,HU,34.4,-77.6,80,92,1
2954,AL051876,UNNAMED,18761020,1876,500,L,HU,25.8,-81.4,90,104,2
3007,AL021877,UNNAMED,18770918,1877,1600,L,HU,29.2,-91,70,81,1
3099,AL041877,UNNAMED,18771003,1877,500,L,HU,30,-85.5,100,115,3
3324,AL051878,UNNAMED,18780910,1878,1100,L,HU,28.6,-82.6,90,104,2
3537,AL111878,UNNAMED,18781023,1878,400,L,HU,34.8,-77.1,90,104,2
3619,AL021879,UNNAMED,18790818,1879,1200,L,HU,34.5,-76.8,100,115,3
3646,AL031879,UNNAMED,18790823,1879,200,L,HU,29.6,-94.4,90,104,2
3669,AL041879,UNNAMED,18790901,1879,1600,L,HU,29.5,-91.4,110,127,3
3826,AL021880,UNNAMED,18800813,1880,100,L,HU,25.8,-97,130,150,4
3880,AL041880,UNNAMED,18800829,1880,1200,L,HU,28.2,-80.6,90,104,2
3950,AL061880,UNNAMED,18800909,1880,1000,L,HU,34.7,-77.1,70,81,1
4021,AL091880,UNNAMED,18801008,1880,1900,L,HU,28.7,-83,70,81,1
4070,AL111880,UNNAMED,18801023,1880,800,L,EX,41.3,-70,60,69,TS
4193,AL051881,UNNAMED,18810828,1881,200,L,HU,31.7,-81.1,90,104,2
4212,AL061881,UNNAMED,18810909,1881,1600,L,HU,33.9,-78.1,90,104,2
4288,AL021882,UNNAMED,18820910,1882,200,L,HU,30.4,-86.8,110,127,3
4373,AL061882,UNNAMED,18821011,1882,400,L,HU,29.5,-83.3,70,81,1
4508,AL031883,UNNAMED,18830911,1883,1300,L,HU,33.9,-78.5,90,104,2
4767,AL021885,UNNAMED,18850825,1885,1200,L,HU,32.6,-80.1,90,104,2
4915,AL011886,UNNAMED,18860614,1886,1600,L,HU,29.6,-94.2,85,98,2
4939,AL021886,UNNAMED,18860621,1886,1100,L,HU,30.1,-84,85,98,2
4968,AL031886,UNNAMED,18860630,1886,2100,L,HU,29.7,-85.2,85,98,2
4997,AL041886,UNNAMED,18860719,1886,100,L,HU,28.8,-82.7,70,81,1
5055,AL051886,UNNAMED,18860820,1886,1300,L,HU,28.1,-96.8,130,150,4
5227,AL101886,UNNAMED,18861012,1886,2200,L,HU,29.8,-93.5,105,121,3
5365,AL041887,UNNAMED,18870727,1887,1500,L,HU,30.4,-86.6,75,86,1
5548,AL091887,UNNAMED,18870921,1887,1700,L,HU,26.1,-97.2,75,86,1
5630,AL131887,UNNAMED,18871019,1887,200,L,HU,29.1,-90.4,75,86,1
5791,AL011888,UNNAMED,18880617,1888,600,L,HU,28.7,-95.7,70,81,1
5818,AL031888,UNNAMED,18880816,1888,1900,L,HU,25.8,-80.1,110,127,3
